id,brand
1,A
2,B
3,B
4,B
5,B
6,B
7,A
8,A
9,B
10,A
11,B
12,B
13,B
14,B
15,B
16,B
17,B
18,A
19,A
20,B
21,B
22,A
23,B
24,A
25,B
26,B
27,A
28,B
29,A
30,A
31,B
32,A
33,A
34,A
35,B
36,B
37,B
38,A
39,A
40,B
41,B
42,A
43,A
44,A
45,B
46,A
47,A
48,A
49,A
50,B
51,B
52,B
53,B
54,A
55,B
56,B
57,B
58,B
59,A
60,B
61,A
62,B
63,A
64,B
65,A
66,A
67,A
68,A
69,B
70,A
71,B
72,A
73,A
74,B
75,A
76,A
77,B
78,A
79,B
80,B
81,B
82,B
83,A
84,A
85,B
86,B
87,B
88,B
89,B
90,B
91,A
92,A
93,A
94,B
95,B
96,A
97,B
98,B
99,B
100,B
101,B
102,B
103,B
104,B
105,B
106,B
107,A
108,B
109,A
110,A
111,B
112,B
113,A
114,A
115,A
116,B
117,B
118,B
119,B
120,B
121,A
122,A
123,B
124,B
125,B
126,B
127,B
128,B
129,A
130,A
131,B
132,A
133,A
134,B
135,A
136,A
137,A
138,B
139,A
140,B
141,B
142,B
143,A
144,B
145,B
146,B
147,B
148,B
149,A
150,B
151,B
152,B
153,A
154,B
155,A
156,B
157,B
158,B
159,A
160,B
161,B
162,B
163,A
164,A
165,A
166,A
167,B
168,B
169,A
170,B
171,B
172,B
173,A
174,A
175,A
176,A
177,A
178,A
179,A
180,A
181,A
182,B
183,A
184,B
185,A
186,A
187,B
188,B
189,B
190,A
191,B
192,A
193,B
194,B
195,A
196,A
197,B
198,A
199,B
200,A
201,A
202,A
203,B
204,B
205,A
206,B
207,A
208,B
209,B
210,B
211,B
212,B
213,A
214,B
215,B
216,B
217,A
218,B
219,A
220,B
221,B
222,B
223,A
224,A
225,B
226,A
227,A
228,A
229,B
230,B
231,A
232,A
233,A
234,A
235,B
236,A
237,A
238,A
239,A
240,B
241,B
242,A
243,A
244,B
245,B
246,A
247,A
248,B
249,A
250,B
251,A
252,B
253,A
254,A
255,A
256,A
257,B
258,A
259,B
260,A
261,B
262,A
263,B
264,A
265,B
266,B
267,B
268,A
269,A
270,A
271,A
272,A
273,B
274,A
275,A
276,A
277,A
278,B
279,B
280,A
281,B
282,B
283,B
284,B
285,B
286,A
287,A
288,A
289,A
290,B
291,B
292,B
293,B
294,A
295,B
296,B
297,B
298,B
299,B
300,A
301,B
302,B
303,B
304,A
305,B
306,A
307,A
308,A
309,B
310,B
311,A
312,B
313,B
314,B
315,A
316,B
317,B
318,B
319,A
320,A
321,B
322,B
323,B
324,A
325,A
326,A
327,A
328,A
329,B
330,B
331,B
332,B
333,B
334,A
335,B
336,A
337,A
338,A
339,B
340,B
341,B
342,A
343,B
344,A
345,A
346,A
347,B
348,A
349,B
350,B
351,A
352,B
353,B
354,B
355,B
356,B
357,B
358,A
359,A
360,A
361,B
362,A
363,B
364,A
365,A
366,B
367,B
368,B
369,B
370,B
371,B
372,B
373,A
374,A
375,B
376,B
377,B
378,B
379,A
380,B
381,A
382,B
383,A
384,B
385,B
386,A
387,A
388,A
389,A
390,A
391,B
392,B
393,A
394,B
395,B
396,A
397,B
398,B
399,B
400,A
401,B
402,A
403,B
404,B
405,A
406,A
407,B
408,B
409,A
410,B
411,B
412,A
413,A
414,B
415,A
416,B
417,A
418,B
419,B
420,A
421,A
422,B
423,A
424,B
425,B
426,B
427,B
428,A
429,A
430,A
431,B
432,A
433,B
434,B
435,B
436,B
437,B
438,A
439,B
440,A
441,B
442,A
443,B
444,B
445,B
446,B
447,B
448,B
449,B
450,B
451,A
452,B
453,B
454,B
455,B
456,B
457,A
458,B
459,B
460,B
461,B
462,A
463,B
464,B
465,A
466,A
467,A
468,B
469,A
470,A
471,A
472,B
473,B
474,B
475,A
476,A
477,B
478,A
479,B
480,B
481,A
482,A
483,A
484,A
485,A
486,B
487,B
488,B
489,B
490,B
491,A
492,B
493,A
494,A
495,B
496,A
497,B
498,B
499,A
500,A
501,B
502,B
503,B
504,B
505,A
506,A
507,A
508,A
509,B
510,A
511,A
512,A
513,A
514,B
515,B
516,A
517,A
518,A
519,B
520,B
521,B
522,A
523,A
524,B
525,B
526,A
527,B
528,A
529,B
530,A
531,A
532,B
533,B
534,A
535,A
536,B
537,B
538,A
539,B
540,A
541,B
542,B
543,B
544,B
545,A
546,A
547,B
548,A
549,B
550,B
551,B
552,B
553,B
554,A
555,B
556,A
557,B
558,B
559,A
560,B
561,B
562,B
563,B
564,A
565,B
566,A
567,A
568,B
569,B
570,A
571,A
572,A
573,B
574,A
575,B
576,B
577,A
578,A
579,B
580,A
581,A
582,A
583,A
584,A
585,A
586,B
587,B
588,A
589,B
590,B
591,A
592,B
593,A
594,A
595,B
596,A
597,B
598,A
599,B
600,A
601,A
602,B
603,B
604,B
605,B
606,B
607,B
608,B
609,A
610,B
611,B
612,A
613,B
614,B
615,A
616,B
617,B
618,A
619,A
620,B
621,A
622,B
623,A
624,B
625,B
626,B
627,B
628,B
629,B
630,A
631,B
632,B
633,B
634,B
635,A
636,B
637,B
638,B
639,B
640,B
641,A
642,B
643,A
644,B
645,A
646,B
647,A
648,A
649,B
650,A
651,A
652,A
653,B
654,A
655,B
656,B
657,A
658,A
659,B
660,B
661,B
662,B
663,A
664,B
665,B
666,B
667,A
668,A
669,B
670,A
671,A
672,A
673,A
674,B
675,A
676,B
677,B
678,B
679,B
680,B
681,A
682,A
683,B
684,A
685,A
686,B
687,B
688,B
689,B
690,B
691,B
692,A
693,A
694,B
695,A
696,B
697,A
698,A
699,A
700,B
701,B
702,B
703,A
704,A
705,A
706,B
707,A
708,A
709,B
710,A
711,A
712,A
713,A
714,B
715,A
716,A
717,B
718,B
719,B
720,B
721,A
722,B
723,B
724,B
725,A
726,A
727,B
728,A
729,B
730,B
731,B
732,B
733,B
734,B
735,B
736,A
737,B
738,B
739,B
740,A
