id,brand
1,A
2,B
3,A
4,A
5,A
6,B
7,B
8,A
9,B
10,B
11,B
12,A
13,A
14,A
15,A
16,A
17,A
18,A
19,A
20,B
21,B
22,B
23,B
24,A
25,B
26,B
27,B
28,A
29,B
30,A
31,A
32,A
33,B
34,A
35,B
36,B
37,A
38,A
39,B
40,B
41,B
42,A
43,A
44,B
45,B
46,A
47,A
48,A
49,B
50,B
51,A
52,B
53,B
54,B
55,B
56,A
57,A
58,A
59,B
60,A
61,B
62,A
63,A
64,A
65,B
66,B
67,B
68,B
69,B
70,A
71,A
72,B
73,A
74,A
75,B
76,A
77,A
78,B
79,B
80,B
81,B
82,B
83,A
84,B
85,A
86,A
87,A
88,B
89,A
90,B
91,A
92,B
93,A
94,B
95,A
96,A
97,A
98,A
99,A
100,B
101,A
102,A
103,B
104,B
105,B
106,B
107,A
108,A
109,B
110,A
111,A
112,B
113,B
114,B
115,B
116,A
117,B
118,A
119,A
120,B
121,B
122,A
123,A
124,B
125,B
126,B
127,B
128,A
129,A
130,B
131,A
132,B
133,B
134,A
135,A
136,B
137,B
138,A
139,B
140,B
141,B
142,B
143,A
144,A
145,A
146,A
147,B
148,A
149,B
150,B
151,A
152,B
153,B
154,A
155,A
156,B
157,B
158,B
159,B
160,B
161,A
162,B
163,A
164,A
165,B
166,A
167,A
168,A
169,B
170,B
171,A
172,A
173,A
174,B
175,A
176,A
177,A
178,A
179,B
180,B
181,A
182,B
183,A
184,B
185,B
186,A
187,A
188,A
189,A
190,B
191,B
192,B
193,A
194,B
195,B
196,B
197,B
198,B
199,A
200,B
201,B
202,B
203,B
204,A
205,A
206,A
207,A
208,B
209,B
210,B
211,A
212,A
213,A
214,B
215,B
216,A
217,B
218,A
219,A
220,A
221,A
222,B
223,B
224,B
225,B
226,A
227,A
228,A
229,A
230,A
231,B
232,B
233,B
234,A
235,A
236,A
237,B
238,A
239,B
240,A
241,A
242,A
243,B
244,B
245,B
246,B
247,A
248,B
249,A
250,A
251,B
252,B
253,B
254,B
255,A
256,B
257,A
258,A
259,A
260,A
261,A
262,B
263,A
264,B
265,A
266,A
267,B
268,B
269,A
270,B
271,A
272,A
273,A
274,A
275,B
276,A
277,B
278,A
279,A
280,A
281,A
282,B
283,B
284,A
285,A
286,B
287,B
288,A
289,B
290,B
291,A
292,B
293,B
294,A
295,A
296,B
297,B
298,A
299,B
300,B
301,B
302,A
303,A
304,A
305,B
306,B
307,A
308,A
309,B
310,B
311,A
312,B
313,B
314,A
315,A
316,B
317,A
318,B
319,B
320,A
321,B
322,B
323,A
324,B
325,A
326,A
327,B
328,B
329,A
330,B
331,B
332,A
333,A
334,A
335,A
336,A
337,B
338,A
339,B
340,B
341,B
342,A
343,A
344,A
345,B
346,A
347,A
348,A
349,B
350,A
351,A
352,B
353,A
354,A
355,B
356,B
357,B
358,A
359,B
360,B
361,B
362,B
363,B
364,A
365,A
366,A
367,B
368,B
369,B
370,B
371,B
372,B
373,A
374,A
375,B
376,A
377,A
378,B
379,A
380,B
381,A
382,A
383,A
384,A
385,B
386,B
387,B
388,B
389,A
390,B
391,B
392,B
393,B
394,A
395,B
396,B
397,A
398,A
399,B
400,A
401,A
402,B
403,A
404,B
405,A
406,A
407,B
408,B
409,B
410,A
411,A
412,B
413,B
414,A
415,B
416,A
417,B
418,B
419,A
420,A
421,A
422,A
423,A
424,B
425,A
426,B
427,A
428,A
429,B
430,A
431,B
432,A
433,A
434,A
435,A
436,B
437,B
438,B
439,B
440,B
441,B
442,A
443,A
444,A
445,B
446,A
447,A
448,B
449,B
450,A
451,B
452,B
453,B
454,B
455,A
456,A
457,A
458,B
459,A
460,B
461,B
462,B
463,B
464,A
465,B
466,B
467,A
468,B
469,A
470,B
471,A
472,B
473,A
474,A
475,B
476,A
477,A
478,B
479,A
480,A
481,A
482,A
483,A
484,A
485,B
486,B
487,A
488,B
489,B
490,A
491,B
492,B
493,B
494,A
495,A
496,B
497,B
498,B
499,A
500,B
501,A
502,B
503,A
504,B
505,B
506,B
507,A
508,B
509,B
510,A
511,B
512,B
513,A
514,B
515,B
516,B
517,A
518,B
519,B
520,B
521,B
522,B
523,B
524,B
525,A
526,B
527,B
528,A
529,A
530,B
531,B
532,A
533,B
534,B
535,A
536,A
537,B
538,B
539,B
540,A
541,B
542,A
543,B
544,B
545,B
546,B
547,B
548,A
549,B
550,B
551,B
552,B
553,A
554,A
555,B
556,B
557,B
558,B
559,B
560,B
561,A
562,B
563,A
564,A
565,A
566,B
567,B
568,A
569,B
570,A
571,A
572,A
573,B
574,A
575,B
576,B
577,A
578,B
579,B
580,A
581,A
582,B
583,A
584,A
585,A
586,A
587,A
588,B
589,B
590,B
591,A
592,B
593,A
594,A
595,A
596,A
597,A
598,A
599,A
600,A
601,A
602,A
603,B
604,A
605,B
606,B
607,A
608,B
609,A
610,B
611,B
612,B
613,B
614,B
615,B
616,A
617,B
618,B
619,A
620,B
621,A
622,A
623,B
624,A
625,A
626,A
627,A
628,B
629,A
630,B
631,A
632,A
633,B
634,A
635,B
636,A
637,A
638,A
639,A
640,B
641,A
642,B
643,A
644,A
645,A
646,A
647,B
648,A
649,B
650,B
651,A
652,B
653,A
654,A
655,A
656,B
657,B
658,A
659,A
660,B
661,A
662,B
663,B
664,A
665,A
666,B
667,A
668,B
669,A
670,B
671,B
672,A
673,A
674,A
675,A
676,B
677,A
678,A
679,B
680,B
681,B
682,A
683,B
684,B
685,A
686,B
687,B
688,A
689,A
690,B
691,B
692,A
693,B
694,B
695,A
696,B
697,A
698,A
699,B
700,A
701,B
702,A
703,B
704,A
705,A
706,B
707,B
708,A
709,B
710,A
711,B
712,B
713,B
714,A
715,A
716,A
717,B
718,B
719,B
720,B
721,B
722,B
723,A
724,B
725,A
726,A
727,A
728,B
729,A
730,B
731,B
732,A
733,B
734,A
735,A
736,A
737,A
738,A
739,A
740,B
